framework	molecule	temperature_K	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R407F	283.0	0.6069605254489796	33.72590181140512
Bhathia_01	R407F	283.0	0.7691966112653061	33.51605868428146
Bhathia_01	R407F	283.0	0.9314326970816327	33.17504708599486
Bhathia_01	R407F	283.0	1.0936687828979592	32.79090598220836
Bhathia_01	R407F	283.0	1.2559048687142857	32.41284593141833
Bhathia_01	R407F	283.0	1.4181409545306123	32.05622183525739
Bhathia_01	R407F	283.0	1.5803770403469388	31.72289591405969
Bhathia_01	R407F	283.0	1.7426131261632654	31.411835941195104
Bhathia_01	R407F	283.0	1.904849211979592	31.12179810456834
Bhathia_01	R407F	283.0	2.067085297795918	30.851729119290972
Bhathia_01	R407F	283.0	2.2293213836122447	30.600752502961335
Bhathia_01	R407F	283.0	2.3915574694285713	30.368094586334472
Bhathia_01	R407F	283.0	2.553793555244898	30.153062143578296
Bhathia_01	R407F	283.0	2.7160296410612244	29.95502759690882
Bhathia_01	R407F	283.0	2.878265726877551	29.77337559049131
Bhathia_01	R407F	283.0	3.0405018126938774	29.60751363024758
Bhathia_01	R407F	283.0	3.202737898510204	29.456884815877395
Bhathia_01	R407F	283.0	3.3649739843265305	29.32091096537333
Bhathia_01	R407F	283.0	3.527210070142857	29.199005841700043
Bhathia_01	R407F	283.0	3.6894461559591836	29.090568982279493
Bhathia_01	R407F	283.0	3.85168224177551	28.99497115491181
Bhathia_01	R407F	283.0	4.013918327591837	28.91165325273606
Bhathia_01	R407F	283.0	4.176154413408163	28.84003352714376
Bhathia_01	R407F	283.0	4.33839049922449	28.779321021498056
Bhathia_01	R407F	283.0	4.500626585040816	28.728733812826896
Bhathia_01	R407F	283.0	4.662862670857143	28.68763817382684
Bhathia_01	R407F	283.0	4.825098756673469	28.655252271348836
Bhathia_01	R407F	283.0	4.987334842489796	28.630641759364746
Bhathia_01	R407F	283.0	5.149570928306122	28.612882903217226
Bhathia_01	R407F	283.0	5.311807014122449	28.600915288141532
Bhathia_01	R407F	283.0	5.4740430999387755	28.59354179787907
Bhathia_01	R407F	283.0	5.636279185755102	28.589510356446937
Bhathia_01	R407F	283.0	5.7985152715714285	28.587390703484964
Bhathia_01	R407F	283.0	5.960751357387755	28.585490123518532
Bhathia_01	R407F	283.0	6.122987443204082	28.581753924339054
Bhathia_01	R407F	283.0	6.285223529020408	28.573707307958472
