framework	molecule	temperature_K	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R407F	283.0	0.6069605254489796	33.44309107834111
Bhathia_01	R407F	283.0	0.7691966112653061	33.28815077516508
Bhathia_01	R407F	283.0	0.9314326970816327	33.034278628765804
Bhathia_01	R407F	283.0	1.0936687828979592	32.74439175120721
Bhathia_01	R407F	283.0	1.2559048687142857	32.454058882375165
Bhathia_01	R407F	283.0	1.4181409545306123	32.174853015575835
Bhathia_01	R407F	283.0	1.5803770403469388	31.908683447108725
Bhathia_01	R407F	283.0	1.7426131261632654	31.655285954229576
Bhathia_01	R407F	283.0	1.904849211979592	31.414141457825007
Bhathia_01	R407F	283.0	2.067085297795918	31.18479499841567
Bhathia_01	R407F	283.0	2.2293213836122447	30.96687484613438
Bhathia_01	R407F	283.0	2.3915574694285713	30.76005854425167
Bhathia_01	R407F	283.0	2.553793555244898	30.564069180917283
Bhathia_01	R407F	283.0	2.7160296410612244	30.3786689784407
Bhathia_01	R407F	283.0	2.878265726877551	30.20362058193179
Bhathia_01	R407F	283.0	3.0405018126938774	30.038701648449027
Bhathia_01	R407F	283.0	3.202737898510204	29.883721479614277
Bhathia_01	R407F	283.0	3.3649739843265305	29.738482717535128
Bhathia_01	R407F	283.0	3.527210070142857	29.602796562215964
Bhathia_01	R407F	283.0	3.6894461559591836	29.47646967636323
Bhathia_01	R407F	283.0	3.85168224177551	29.359270554163786
Bhathia_01	R407F	283.0	4.013918327591837	29.250999543126724
Bhathia_01	R407F	283.0	4.176154413408163	29.151462204639465
Bhathia_01	R407F	283.0	4.33839049922449	29.060367336398073
Bhathia_01	R407F	283.0	4.500626585040816	28.977409084402538
Bhathia_01	R407F	283.0	4.662862670857143	28.902273467427793
Bhathia_01	R407F	283.0	4.825098756673469	28.83448187441884
Bhathia_01	R407F	283.0	4.987334842489796	28.77347683112953
Bhathia_01	R407F	283.0	5.149570928306122	28.718721681054063
Bhathia_01	R407F	283.0	5.311807014122449	28.669537927744162
Bhathia_01	R407F	283.0	5.4740430999387755	28.62507325520257
Bhathia_01	R407F	283.0	5.636279185755102	28.584326671761325
Bhathia_01	R407F	283.0	5.7985152715714285	28.54603992794936
Bhathia_01	R407F	283.0	5.960751357387755	28.50864261814001
Bhathia_01	R407F	283.0	6.122987443204082	28.470144117058716
Bhathia_01	R407F	283.0	6.285223529020408	28.428043802284673
Bhathia_01	R407F	283.0	6.447459614836735	28.379364995086174
Bhathia_01	R407F	283.0	6.609695700653061	28.32074968844679
Bhathia_01	R407F	283.0	6.771931786469388	28.248591556297356
Bhathia_01	R407F	283.0	6.934167872285714	28.159194712672623
Bhathia_01	R407F	283.0	7.096403958102041	28.049120177330497
Bhathia_01	R407F	283.0	7.258640043918367	27.915553189869364
Bhathia_01	R407F	283.0	7.420876129734694	27.75723533200031
Bhathia_01	R407F	283.0	7.58311221555102	27.577032707897438
Bhathia_01	R407F	283.0	7.745348301367347	27.387066543364092
Bhathia_01	R407F	283.0	7.9075843871836735	27.21645520946585
Bhathia_01	R407F	283.0	8.069820473	27.111410182181245
Bhathia_01	R407F	303.0	0.4959233804081632	33.626876262927134
Bhathia_01	R407F	303.0	0.646831522877551	33.47376393339958
Bhathia_01	R407F	303.0	0.7977396653469387	33.22307387508433
Bhathia_01	R407F	303.0	0.9486478078163264	32.93710932663684
Bhathia_01	R407F	303.0	1.0995559502857144	32.65096210778704
Bhathia_01	R407F	303.0	1.250464092755102	32.37586696032384
Bhathia_01	R407F	303.0	1.4013722352244897	32.11344536546739
Bhathia_01	R407F	303.0	1.5522803776938776	31.863216481215524
Bhathia_01	R407F	303.0	1.7031885201632653	31.624525862225422
Bhathia_01	R407F	303.0	1.854096662632653	31.396797890657787
Bhathia_01	R407F	303.0	2.0050048051020406	31.179534982856545
Bhathia_01	R407F	303.0	2.1559129475714287	30.97230142693555
Bhathia_01	R407F	303.0	2.3068210900408164	30.774711628125537
Bhathia_01	R407F	303.0	2.457729232510204	30.586417203963286
Bhathia_01	R407F	303.0	2.6086373749795917	30.407098853877642
Bhathia_01	R407F	303.0	2.7595455174489794	30.236463974789366
Bhathia_01	R407F	303.0	2.9104536599183675	30.074241185887892
Bhathia_01	R407F	303.0	3.061361802387755	29.920172075239346
Bhathia_01	R407F	303.0	3.212269944857143	29.774009913207838
Bhathia_01	R407F	303.0	3.3631780873265305	29.635519815328145
Bhathia_01	R407F	303.0	3.514086229795918	29.50446974286021
Bhathia_01	R407F	303.0	3.6649943722653058	29.380623009606126
Bhathia_01	R407F	303.0	3.815902514734694	29.263741994623317
Bhathia_01	R407F	303.0	3.9668106572040815	29.153586135664256
Bhathia_01	R407F	303.0	4.11771879967347	29.049895532906866
Bhathia_01	R407F	303.0	4.268626942142857	28.952383590783278
Bhathia_01	R407F	303.0	4.419535084612245	28.86074117497675
Bhathia_01	R407F	303.0	4.570443227081633	28.77462397916757
Bhathia_01	R407F	303.0	4.72135136955102	28.69363916558259
Bhathia_01	R407F	303.0	4.872259512020408	28.61735863830531
Bhathia_01	R407F	303.0	5.023167654489796	28.54529069753964
Bhathia_01	R407F	303.0	5.174075796959183	28.4767904787058
Bhathia_01	R407F	303.0	5.324983939428571	28.411065043924943
Bhathia_01	R407F	303.0	5.475892081897959	28.347268940531862
Bhathia_01	R407F	303.0	5.626800224367346	28.284474023088304
Bhathia_01	R407F	303.0	5.777708366836735	28.22154064832948
Bhathia_01	R407F	303.0	5.9286165093061225	28.157075129587483
Bhathia_01	R407F	303.0	6.07952465177551	28.08945868786524
Bhathia_01	R407F	303.0	6.230432794244898	28.01685543739285
Bhathia_01	R407F	303.0	6.3813409367142855	27.937219860917068
Bhathia_01	R407F	303.0	6.532249079183673	27.848355114416982
Bhathia_01	R407F	303.0	6.683157221653061	27.748051970429678
Bhathia_01	R407F	303.0	6.8340653641224485	27.634460850528882
Bhathia_01	R407F	303.0	6.984973506591836	27.507481436760003
Bhathia_01	R407F	303.0	7.135881649061224	27.373092289062342
Bhathia_01	R407F	303.0	7.2867897915306115	27.250793046941624
Bhathia_01	R407F	303.0	7.437697934	27.174651410386822
Bhathia_01	R407F	333.0	0.5512513651428571	33.281349268335354
Bhathia_01	R407F	333.0	0.6857116924285714	33.1511545778252
Bhathia_01	R407F	333.0	0.8201720197142857	32.93761922209795
Bhathia_01	R407F	333.0	0.9546323469999999	32.69329515080764
Bhathia_01	R407F	333.0	1.089092674285714	32.447761342467324
Bhathia_01	R407F	333.0	1.2235530015714284	32.210466451285484
Bhathia_01	R407F	333.0	1.3580133288571428	31.982759237895863
Bhathia_01	R407F	333.0	1.4924736561428569	31.764227645204045
Bhathia_01	R407F	333.0	1.6269339834285712	31.554322513297397
Bhathia_01	R407F	333.0	1.7613943107142855	31.352570938550116
Bhathia_01	R407F	333.0	1.8958546379999996	31.158576060150978
Bhathia_01	R407F	333.0	2.030314965285714	30.971999481704643
Bhathia_01	R407F	333.0	2.1647752925714285	30.792547321131092
Bhathia_01	R407F	333.0	2.299235619857143	30.619958986659164
Bhathia_01	R407F	333.0	2.433695947142857	30.454001808389727
Bhathia_01	R407F	333.0	2.5681562744285715	30.294467269964755
Bhathia_01	R407F	333.0	2.702616601714286	30.141164129936413
Bhathia_01	R407F	333.0	2.8370769289999997	29.993912884224642
Bhathia_01	R407F	333.0	2.971537256285714	29.852541210268917
Bhathia_01	R407F	333.0	3.1059975835714284	29.71687940884778
Bhathia_01	R407F	333.0	3.2404579108571427	29.586756933420766
Bhathia_01	R407F	333.0	3.374918238142857	29.461998055217563
Bhathia_01	R407F	333.0	3.5093785654285714	29.34241985659705
Bhathia_01	R407F	333.0	3.6438388927142857	29.227830469981562
Bhathia_01	R407F	333.0	3.7782992199999996	29.1180233420081
Bhathia_01	R407F	333.0	3.912759547285714	29.012773659065026
