framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	303.0	4.561629107	0.002010269
Bhathia_01	R125	303.0	4.69672741	0.002051617
Bhathia_01	R125	303.0	4.835826816	0.002093816
Bhathia_01	R125	303.0	4.979045824	0.002136882
Bhathia_01	R125	303.0	5.126506441	0.002180834
Bhathia_01	R125	303.0	5.278334287	0.002225689
Bhathia_01	R125	303.0	5.434658702	0.002271466
Bhathia_01	R125	303.0	5.595612859	0.002318185
Bhathia_01	R125	303.0	5.761333873	0.002365864
Bhathia_01	R125	303.0	5.93196292	0.002414523
Bhathia_01	R125	303.0	6.107645358	0.002464183
Bhathia_01	R125	303.0	6.28853085	0.002514863
Bhathia_01	R125	303.0	6.474773489	0.002566585
Bhathia_01	R125	303.0	6.666531936	0.00261937
Bhathia_01	R125	303.0	6.863969546	0.00267324
Bhathia_01	R125	303.0	7.067254516	0.002728217
Bhathia_01	R125	303.0	7.276560023	0.002784324
Bhathia_01	R125	303.0	7.492064371	0.002841585
Bhathia_01	R125	303.0	7.713951149	0.002900022
Bhathia_01	R125	303.0	7.942409378	0.00295966
Bhathia_01	R125	303.0	8.177633681	0.003020523
Bhathia_01	R125	303.0	8.419824443	0.003082637
Bhathia_01	R125	303.0	8.669187986	0.003146028
Bhathia_01	R125	303.0	8.925936739	0.003210721
Bhathia_01	R125	303.0	9.190289424	0.003276743
Bhathia_01	R125	303.0	9.462471242	0.003344121
Bhathia_01	R125	303.0	9.742714062	0.003412884
Bhathia_01	R125	303.0	10.03125662	0.003483059
Bhathia_01	R125	303.0	10.32834473	0.003554676
Bhathia_01	R125	303.0	10.63423146	0.003627764
Bhathia_01	R125	303.0	10.94917742	0.003702354
Bhathia_01	R125	303.0	11.27345088	0.003778475
Bhathia_01	R125	303.0	11.60732811	0.003856159
Bhathia_01	R125	303.0	11.95109353	0.003935439
Bhathia_01	R125	303.0	12.30503998	0.004016347
Bhathia_01	R125	303.0	12.669469	0.004098917
Bhathia_01	R125	303.0	13.04469104	0.004183182
Bhathia_01	R125	303.0	13.43102574	0.004269177
Bhathia_01	R125	303.0	13.82880222	0.004356937
Bhathia_01	R125	303.0	14.23835935	0.004446499
Bhathia_01	R125	303.0	14.66004602	0.0045379
Bhathia_01	R125	303.0	15.09422146	0.004631176
Bhathia_01	R125	303.0	15.54125555	0.004726367
Bhathia_01	R125	303.0	16.0015291	0.004823512
Bhathia_01	R125	303.0	16.47543423	0.00492265
Bhathia_01	R125	303.0	16.96337465	0.005023823
Bhathia_01	R125	303.0	17.46576602	0.005127071
Bhathia_01	R125	303.0	17.98303634	0.005232438
Bhathia_01	R125	303.0	18.51562626	0.005339967
Bhathia_01	R125	303.0	19.0639895	0.005449701
Bhathia_01	R125	303.0	19.62859319	0.005561686
Bhathia_01	R125	303.0	20.20991832	0.005675968
Bhathia_01	R125	303.0	20.80846011	0.005792593
Bhathia_01	R125	303.0	21.42472846	0.00591161
Bhathia_01	R125	303.0	22.05924836	0.006033067
Bhathia_01	R125	303.0	22.71256036	0.006157014
Bhathia_01	R125	303.0	23.385221	0.006283502
Bhathia_01	R125	303.0	24.07780332	0.006412583
Bhathia_01	R125	303.0	24.79089732	0.006544309
Bhathia_01	R125	303.0	25.52511049	0.006678735
Bhathia_01	R125	303.0	26.28106829	0.006815915
Bhathia_01	R125	303.0	27.05941472	0.006955906
Bhathia_01	R125	303.0	27.86081284	0.007098764
Bhathia_01	R125	303.0	28.68594536	0.007244549
Bhathia_01	R125	303.0	29.53551521	0.00739332
Bhathia_01	R125	303.0	30.41024612	0.007545137
Bhathia_01	R125	303.0	31.31088327	0.007700062
Bhathia_01	R125	303.0	32.23819391	0.007858159
Bhathia_01	R125	303.0	33.192968	0.008019493
Bhathia_01	R125	303.0	34.17601891	0.008184128
Bhathia_01	R125	303.0	35.18818409	0.008352132
Bhathia_01	R125	303.0	36.2303258	0.008523574
Bhathia_01	R125	303.0	37.30333182	0.008698523
Bhathia_01	R125	303.0	38.40811626	0.008877051
Bhathia_01	R125	303.0	39.54562025	0.00905923
Bhathia_01	R125	303.0	40.71681283	0.009245134
Bhathia_01	R125	303.0	41.92269174	0.009434838
Bhathia_01	R125	303.0	43.16428424	0.009628421
Bhathia_01	R125	303.0	44.44264805	0.009825959
