framework	molecule	temperature_K	pressure_Pa	mole_fraction
Bhathia_01	R134a	283.0	262804.06	0.5753113562753724
Bhathia_01	R134a	283.0	356301.9657	0.5684232831343399
Bhathia_01	R134a	283.0	483063.6587	0.5597593097037911
Bhathia_01	R134a	283.0	654923.4101	0.549289210150502
Bhathia_01	R134a	283.0	887925.7739	0.5369616948273811
Bhathia_01	R134a	283.0	1203823.482	0.5227129170159424
Bhathia_01	R134a	283.0	1632108.245	0.506479760461455
Bhathia_01	R134a	283.0	2212764.048	0.48821484916305724
Bhathia_01	R134a	283.0	3000000.0	0.46798287813657535
Bhathia_01	R32	283.0	1.0	0.0021929072131729576
Bhathia_01	R32	283.0	1.3557704	0.002456172286147812
Bhathia_01	R32	283.0	1.838113379	0.002740135927412028
Bhathia_01	R32	283.0	2.492059712	0.003064147403596439
Bhathia_01	R32	283.0	3.378660794	0.003417814185659593
Bhathia_01	R32	283.0	4.580688297	0.003814375482263397
Bhathia_01	R32	283.0	6.210361607	0.0042556981718859755
Bhathia_01	R32	283.0	8.419824443	0.004750587184536547
Bhathia_01	R32	283.0	11.41534876	0.0052996815353964005
Bhathia_01	R32	283.0	15.47659196	0.005910688640164401
Bhathia_01	R32	283.0	20.98270528	0.006590407229082113
Bhathia_01	R32	283.0	28.44773074	0.007346208194360948
Bhathia_01	R32	283.0	38.56859129	0.008186221098103632
Bhathia_01	R32	283.0	52.29015446	0.009119376715042002
Bhathia_01	R32	283.0	70.89344366	0.010155442743978713
Bhathia_01	R32	283.0	96.1152325	0.011305080269940775
Bhathia_01	R32	283.0	130.3101873	0.012579870842851795
Bhathia_01	R32	283.0	176.6706948	0.013992412100232967
Bhathia_01	R32	283.0	239.5248986	0.015556263757763708
Bhathia_01	R32	283.0	324.7407677	0.017285982379480726
Bhathia_01	R32	283.0	440.2739207	0.01919704889122144
Bhathia_01	R32	283.0	596.9103498	0.021305775317095852
Bhathia_01	R32	283.0	809.273384	0.02362911770319497
Bhathia_01	R32	283.0	1097.1889	0.026184404500084347
Bhathia_01	R32	283.0	1487.536234	0.028988957322548397
Bhathia_01	R32	283.0	2016.757596	0.03205962791396893
Bhathia_01	R32	283.0	2734.260254	0.03541233460922745
Bhathia_01	R32	283.0	3707.029119	0.039061754660765134
Bhathia_01	R32	283.0	5025.880354	0.04302159635947548
Bhathia_01	R32	283.0	6813.93982	0.04730608928356347
Bhathia_01	R32	283.0	9238.137919	0.05193367788268733
Bhathia_01	R32	283.0	12524.79395	0.056933983732557925
Bhathia_01	R32	283.0	16980.7449	0.062358559493064514
Bhathia_01	R32	283.0	23021.99132	0.06829393163996254
Bhathia_01	R32	283.0	31212.53439	0.07487180134405183
Bhathia_01	R32	283.0	42317.03025	0.0822679434818832
Bhathia_01	R32	283.0	57372.17705	0.09068379085779693
Bhathia_01	R32	283.0	77783.49946	0.10031599628576553
Bhathia_01	R32	283.0	105456.5662	0.11133085924901098
Bhathia_01	R32	283.0	142974.891	0.12385799425321553
Bhathia_01	R32	283.0	193841.1252	0.13800255886492693
Bhathia_01	R32	283.0	262804.06	0.15386401894215038
Bhathia_01	R32	283.0	356301.9657	0.17154991061493743
Bhathia_01	R32	283.0	483063.6587	0.19117990404225033
Bhathia_01	R32	283.0	654923.4101	0.21288123738908785
Bhathia_01	R32	283.0	887925.7739	0.23677869194830248
Bhathia_01	R32	283.0	1203823.482	0.2629817957328532
Bhathia_01	R32	283.0	1632108.245	0.2915707371536095
Bhathia_01	R32	283.0	2212764.048	0.3225816036290376
Bhathia_01	R32	283.0	3000000.0	0.35605286035958633
Bhathia_01	R125	303.0	1.0	0.40280758386156296
Bhathia_01	R125	303.0	1.02961624	0.4028073682804402
Bhathia_01	R125	303.0	1.060109602	0.4028083587440365
Bhathia_01	R125	303.0	1.091506062	0.40280827069303576
Bhathia_01	R125	303.0	1.123832368	0.4028096086015642
Bhathia_01	R125	303.0	1.157116057	0.4028117426386762
Bhathia_01	R125	303.0	1.191385484	0.40281078815051874
Bhathia_01	R125	303.0	1.226669843	0.40281124296813553
Bhathia_01	R125	303.0	1.262999191	0.4028129000337697
Bhathia_01	R125	303.0	1.300404479	0.40281159747889256
Bhathia_01	R125	303.0	1.33891757	0.4028134685700848
Bhathia_01	R125	303.0	1.378571274	0.40281262727055284
Bhathia_01	R125	303.0	1.419399372	0.40281321938930637
Bhathia_01	R125	303.0	1.461436645	0.4028131699765392
Bhathia_01	R125	303.0	1.504718903	0.4028126737559077
Bhathia_01	R125	303.0	1.549283019	0.40281310546549126
Bhathia_01	R125	303.0	1.595166957	0.40281161128398
Bhathia_01	R125	303.0	1.642409805	0.40281141172114887
Bhathia_01	R125	303.0	1.691051808	0.4028171687286103
Bhathia_01	R125	303.0	1.741134404	0.40281609130011564
Bhathia_01	R125	303.0	1.792700259	0.4028163816070213
Bhathia_01	R125	303.0	1.8457933	0.4028026121653196
Bhathia_01	R125	303.0	1.900458758	0.4028057872591718
Bhathia_01	R125	303.0	1.956743201	0.4028098741965046
Bhathia_01	R125	303.0	2.014694577	0.40280115518860404
Bhathia_01	R125	303.0	2.074362255	0.40280772513293156
Bhathia_01	R125	303.0	2.135797066	0.4028017154859829
Bhathia_01	R125	303.0	2.199051345	0.40279728345421206
Bhathia_01	R125	303.0	2.264178977	0.4028076699077012
Bhathia_01	R125	303.0	2.331235445	0.40280592486381644
Bhathia_01	R125	303.0	2.400277874	0.40280550124108777
Bhathia_01	R125	303.0	2.47136508	0.4027942297569983
Bhathia_01	R125	303.0	2.544557622	0.402796879817327
Bhathia_01	R125	303.0	2.619917851	0.40278883239805835
Bhathia_01	R125	303.0	2.697509967	0.40279428666572625
Bhathia_01	R125	303.0	2.77740007	0.4027893117922631
Bhathia_01	R125	303.0	2.859656217	0.4027859647720574
Bhathia_01	R125	303.0	2.944348482	0.40278423989908124
Bhathia_01	R125	303.0	3.031549014	0.40278402082993053
Bhathia_01	R125	303.0	3.121332097	0.4027850916297653
Bhathia_01	R125	303.0	3.213774218	0.4027773549767658
Bhathia_01	R125	303.0	3.308954127	0.40278146107042356
Bhathia_01	R125	303.0	3.406952907	0.4027768976965778
Bhathia_01	R125	303.0	3.507854042	0.40277390060490315
Bhathia_01	R125	303.0	3.61174349	0.4027727833826354
Bhathia_01	R125	303.0	3.718709752	0.40276364563896827
Bhathia_01	R125	303.0	3.828843953	0.40276550568312125
Bhathia_01	R125	303.0	3.942239915	0.40275981638490144
Bhathia_01	R125	303.0	4.058994239	0.40275598252515815
Bhathia_01	R125	303.0	4.179206387	0.40275370658506904
Bhathia_01	R125	303.0	4.302978766	0.4027446803715664
Bhathia_01	R125	303.0	4.430416819	0.40274584429692506
Bhathia_01	R125	303.0	4.561629107	0.402740472505622
Bhathia_01	R125	303.0	4.69672741	0.4027367261010536
Bhathia_01	R125	303.0	4.835826816	0.40273483677803823
Bhathia_01	R125	303.0	4.979045824	0.40272693417604716
Bhathia_01	R125	303.0	5.126506441	0.40272849472045724
Bhathia_01	R125	303.0	5.278334287	0.40272417826273876
Bhathia_01	R125	303.0	5.434658702	0.4027144941092705
Bhathia_01	R125	303.0	5.595612859	0.4027138803771172
