framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	283.0	50000.0	100.0	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	103.5079362523115	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	107.13892867212581	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	110.89729399135348	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	114.78750037010863	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	118.81417270871387	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	122.98209814604685	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	127.29623175076546	101.21977253631056
Bhathia_01	R407F	283.0	283.0	50000.0	131.76170241217702	101.1923265624228
Bhathia_01	R407F	283.0	283.0	50000.0	136.3838189377566	101.10494487627314
Bhathia_01	R407F	283.0	283.0	50000.0	141.16807636456102	101.01452291255654
Bhathia_01	R407F	283.0	283.0	50000.0	146.12016249204424	100.92095580616844
Bhathia_01	R407F	283.0	283.0	50000.0	151.24596464403913	100.82420741413044
Bhathia_01	R407F	283.0	283.0	50000.0	156.55157666794562	100.72448421731796
Bhathia_01	R407F	283.0	283.0	50000.0	162.04330617944572	100.62131215892335
Bhathia_01	R407F	283.0	283.0	50000.0	167.72768206135862	100.51455787643478
Bhathia_01	R407F	283.0	283.0	50000.0	173.6114622255508	100.40409562473302
Bhathia_01	R407F	283.0	283.0	50000.0	179.70164164712898	100.29655474296956
Bhathia_01	R407F	283.0	283.0	50000.0	186.00546068046754	100.192268561131
Bhathia_01	R407F	283.0	283.0	50000.0	192.53041366695666	100.0843627248838
Bhathia_01	R407F	283.0	283.0	50000.0	199.28425784470534	99.97289285181992
Bhathia_01	R407F	283.0	283.0	50000.0	206.27502257078967	99.85757352582985
Bhathia_01	R407F	283.0	283.0	50000.0	213.51101886701414	99.73826224774758
Bhathia_01	R407F	283.0	283.0	50000.0	221.00084930052978	99.61486880181585
Bhathia_01	R407F	283.0	283.0	50000.0	228.7534182110594	99.48730233960089
Bhathia_01	R407F	283.0	283.0	50000.0	236.77794229688686	99.3554094888943
Bhathia_01	R407F	283.0	283.0	50000.0	245.08396157219659	99.22890772975063
Bhathia_01	R407F	283.0	283.0	50000.0	253.68135070878884	99.10352743520187
Bhathia_01	R407F	283.0	283.0	50000.0	262.58033077565597	98.97380960867527
