framework	molecule	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R125	0.1809116965976303	36.71719862766883
Bhathia_01	R125	0.28266158472709757	34.82595183136289
Bhathia_01	R125	0.38441147285656485	33.64840965309613
Bhathia_01	R125	0.4861613609860321	32.83440227739048
Bhathia_01	R125	0.5879112491154994	32.23495007760141
Bhathia_01	R125	0.6896611372449666	31.772497968128555
Bhathia_01	R125	0.7914110253744339	31.401829570454797
Bhathia_01	R125	0.8931609135039011	31.094736664485584
Bhathia_01	R125	0.9949108016333684	30.832875719505175
Bhathia_01	R125	1.0966606897628357	30.60401194147376
Bhathia_01	R125	1.1984105778923029	30.399867734548177
Bhathia_01	R125	1.3001604660217703	30.214811188006568
Bhathia_01	R125	1.4019103541512374	30.045017766436903
Bhathia_01	R125	1.5036602422807048	29.8879138302467
Bhathia_01	R125	1.605410130410172	29.741796187409836
Bhathia_01	R125	1.7071600185396394	29.605566521609475
Bhathia_01	R125	1.8089099066691066	29.47854386830967
Bhathia_01	R125	1.9106597947985737	29.360331905080507
Bhathia_01	R125	2.012409682928041	29.250725665936322
Bhathia_01	R125	2.1141595710575083	29.149647001037273
Bhathia_01	R125	2.2159094591869755	29.057101093297295
Bhathia_01	R125	2.317659347316443	28.97314837899369
Bhathia_01	R125	2.4194092354459102	28.897887686762967
Bhathia_01	R125	2.5211591235753774	28.83144749085627
Bhathia_01	R125	2.6229090117048446	28.773983035733263
Bhathia_01	R125	2.7246588998343118	28.725677723395712
Bhathia_01	R125	2.8264087879637794	28.686747688079343
Bhathia_01	R125	2.9281586760932465	28.65744887162962
Bhathia_01	R125	3.0299085642227137	28.638086253458113
Bhathia_01	R125	3.131658452352181	28.62902514167811
Bhathia_01	R125	3.2334083404816485	28.63070469326856
Bhathia_01	R125	3.3351582286111157	28.643654043921952
Bhathia_01	R125	3.436908116740583	28.668511685067628
Bhathia_01	R125	3.53865800487005	28.706049011505584
Bhathia_01	R125	3.640407892999517	28.757199327023233
Bhathia_01	R125	3.742157781128985	28.823094090810265
Bhathia_01	R125	3.843907669258452	28.905108870119744
Bhathia_01	R125	3.945657557387919	29.004922443169264
Bhathia_01	R125	4.047407445517386	29.124593945914512
Bhathia_01	R125	4.149157333646854	29.266665111615207
Bhathia_01	R125	4.250907221776321	29.434297979008566
Bhathia_01	R125	4.352657109905788	29.631463660489914
Bhathia_01	R125	4.454406998035256	29.863206182645524
Bhathia_01	R125	4.556156886164723	30.136019412706624
Bhathia_01	R125	4.65790677429419	30.458399166251983
Bhathia_01	R125	4.759656662423657	30.841675685056984
Bhathia_01	R125	4.8614065505531245	31.301312410909023
Bhathia_01	R125	4.963156438682592	31.85901676465877
Bhathia_01	R125	5.064906326812059	32.54634649796061
Bhathia_01	R125	5.1666562149415265	33.411270471314324
