framework	molecule	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R125	0.16926766813383268	34.30192811538635
Bhathia_01	R125	0.2712212377787359	33.93524459911176
Bhathia_01	R125	0.3731748074236392	33.573906694883966
Bhathia_01	R125	0.4751283770685424	33.21865392219451
Bhathia_01	R125	0.5770819467134457	32.870214436182586
Bhathia_01	R125	0.6790355163583489	32.529305027634955
Bhathia_01	R125	0.7809890860032521	32.19663112298607
Bhathia_01	R125	0.8829426556481554	31.872886784317952
Bhathia_01	R125	0.9848962252930586	31.558754709360276
Bhathia_01	R125	1.0868497949379619	31.25490623149033
Bhathia_01	R125	1.1888033645828653	30.96200131973303
Bhathia_01	R125	1.2907569342277685	30.680688578760908
Bhathia_01	R125	1.3927105038726717	30.41160524889412
Bhathia_01	R125	1.494664073517575	30.155377206100457
Bhathia_01	R125	1.5966176431624783	29.912618961995314
Bhathia_01	R125	1.6985712128073815	29.68393366384173
Bhathia_01	R125	1.8005247824522848	29.46991309455035
Bhathia_01	R125	1.902478352097188	29.271137672679455
Bhathia_01	R125	2.004431921742091	29.088176452434933
Bhathia_01	R125	2.1063854913869946	28.92158712367032
Bhathia_01	R125	2.208339061031898	28.77191601188676
Bhathia_01	R125	2.310292630676801	28.63969807823301
Bhathia_01	R125	2.4122462003217042	28.525456919505473
Bhathia_01	R125	2.5141997699666074	28.429704768148156
Bhathia_01	R125	2.6161533396115106	28.35294249225271
Bhathia_01	R125	2.718106909256414	28.295659595558377
Bhathia_01	R125	2.820060478901317	28.258334217452056
Bhathia_01	R125	2.9220140485462207	28.24143313296825
Bhathia_01	R125	3.023967618191124	28.2454117527891
Bhathia_01	R125	3.125921187836027	28.270714123244353
Bhathia_01	R125	3.2278747574809303	28.317772926311385
Bhathia_01	R125	3.3298283271258335	28.3870094796152
Bhathia_01	R125	3.4317818967707368	28.47883373642842
Bhathia_01	R125	3.53373546641564	28.5936442856713
Bhathia_01	R125	3.635689036060543	28.731828351911705
Bhathia_01	R125	3.7376426057054464	28.89376179536513
Bhathia_01	R125	3.8395961753503496	29.0798091118947
Bhathia_01	R125	3.941549744995253	29.29032343301115
Bhathia_01	R125	4.043503314640156	29.525646525872837
Bhathia_01	R125	4.14545688428506	29.786108793285763
Bhathia_01	R125	4.247410453929962	30.072029273703528
Bhathia_01	R125	4.349364023574865	30.383715641227376
Bhathia_01	R125	4.451317593219769	30.721464205606157
Bhathia_01	R125	4.5532711628646725	31.08555991223635
Bhathia_01	R125	4.655224732509575	31.476276342162066
Bhathia_01	R125	4.757178302154479	31.893875712075026
Bhathia_01	R125	4.859131871799382	32.33860887431458
Bhathia_01	R125	4.961085441444285	32.810715316867714
Bhathia_01	R125	5.063039011089188	33.310423163369016
Bhathia_01	R125	5.164992580734092	33.837949173100704
