framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	283.0	100.0	0.14272965055389455
Bhathia_01	R125	283.0	123.41553253454694	0.16289566126304283
Bhathia_01	R125	283.0	152.31393670785815	0.18580410601907918
Bhathia_01	R125	283.0	187.9790561123359	0.21179592870512895
Bhathia_01	R125	283.0	231.9953531544542	0.24124556988615467
Bhathia_01	R125	283.0	286.3183005509725	0.2745619860192217
Bhathia_01	R125	283.0	353.36125536884737	0.3121891441139584
Bhathia_01	R125	283.0	436.10267508422373	0.35460589925050334
Bhathia_01	R125	283.0	538.2184388525997	0.40232519406482065
Bhathia_01	R125	283.0	664.2451525090609	0.45589257142648004
Bhathia_01	R125	283.0	819.7816923039709	0.5158840641727598
Bhathia_01	R125	283.0	1011.7379411776668	0.5829036131138211
Bhathia_01	R125	283.0	1248.6417679584788	0.6575802510973082
Bhathia_01	R125	283.0	1541.0178873747384	0.7405653473313162
Bhathia_01	R125	283.0	1901.8554321561603	0.8325301855211712
Bhathia_01	R125	283.0	2347.1850096327344	0.9341639862906395
Bhathia_01	R125	283.0	2896.7908792092962	1.0461720997391875
Bhathia_01	R125	283.0	3575.0898899883373	1.1692734099028061
Bhathia_01	R125	283.0	4412.216226317855	1.3041949623667664
Bhathia_01	R125	283.0	5445.360152285872	1.4516604818454752
Bhathia_01	R125	283.0	6720.420230367625	1.6123679668173316
Bhathia_01	R125	283.0	8294.04241586763	1.7869503315455382
Bhathia_01	R125	283.0	10236.13661618424	1.9759127800139331
Bhathia_01	R125	283.0	12632.982515827533	2.179542147526698
Bhathia_01	R125	283.0	15591.062646904755	2.3977877803788097
Bhathia_01	R125	283.0	19241.792993472332	2.630121186433245
Bhathia_01	R125	283.0	23747.361292089023	2.8753921459364467
Bhathia_01	R125	283.0	29307.932401534592	3.131709929851873
Bhathia_01	R125	283.0	36170.54084821895	3.3963855198299013
Bhathia_01	R125	283.0	44640.065608455254	3.6659691453813354
Bhathia_01	R125	283.0	55092.77469444619	3.9364034786351207
Bhathia_01	R125	283.0	67993.04127720889	4.203287430876172
Bhathia_01	R125	283.0	83913.97397870166	4.462215699889075
Bhathia_01	R125	283.0	103562.87785671582	4.7091360997424365
