framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	353.0	50000.0	100.0	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	103.5079362523115	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	107.13892867212581	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	110.89729399135348	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	114.78750037010863	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	118.81417270871387	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	122.98209814604685	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	127.29623175076546	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	131.76170241217702	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	136.3838189377566	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	141.16807636456102	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	146.12016249204424	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	151.24596464403913	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	156.55157666794562	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	162.04330617944572	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	167.72768206135862	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	173.6114622255508	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	179.70164164712898	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	186.00546068046754	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	192.53041366695666	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	199.28425784470534	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	206.27502257078967	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	213.51101886701414	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	221.00084930052978	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	228.7534182110594	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	236.77794229688686	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	245.08396157219659	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	253.68135070878884	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	262.58033077565597	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	271.7914813903746	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	281.32575329676206	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	291.1944813837476	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	301.4093981609385	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	311.9826477069	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	322.92680010673166	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	334.2548663961052	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	345.9803140295299	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	358.11708289123294	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	370.67960186769494	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	383.6828060015357	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	397.1421542471496	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	411.0736478491962	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	425.49384936579753	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	440.41990235905604	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	455.86955177630426	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	471.8611650463152	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	488.41375391555476	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	505.546997050434	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	523.2812634324383	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	541.6376365739385	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	560.6379395834789	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	580.30476111034	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	600.6614821992193	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	621.7323040869574	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	643.5422769743552	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	666.1173298072896	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	689.4843011025289	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	713.670970854901	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	738.7060935637436	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	764.6194324179003	99.46977956854612
Bhathia_01	R407F	283.0	353.0	50000.0	791.4417946799063	99.46977956854612
