framework	molecule	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R125	0.1809116965976303	34.82946614687418
Bhathia_01	R125	0.28266158472709757	34.33432024927755
Bhathia_01	R125	0.38441147285656485	33.86081683065634
Bhathia_01	R125	0.4861613609860321	33.40859794575223
Bhathia_01	R125	0.5879112491154994	32.97732184930396
Bhathia_01	R125	0.6896611372449666	32.56666299604736
Bhathia_01	R125	0.7914110253744339	32.176312040715324
Bhathia_01	R125	0.8931609135039011	31.80597583803778
Bhathia_01	R125	0.9949108016333684	31.45537744274176
Bhathia_01	R125	1.0966606897628357	31.12425610955134
Bhathia_01	R125	1.1984105778923029	30.81236729318769
Bhathia_01	R125	1.3001604660217703	30.51948264836901
Bhathia_01	R125	1.4019103541512374	30.2453900298106
Bhathia_01	R125	1.5036602422807048	29.98989349222482
Bhathia_01	R125	1.605410130410172	29.752813290321075
Bhathia_01	R125	1.7071600185396394	29.53398587880587
Bhathia_01	R125	1.8089099066691066	29.333263912382762
Bhathia_01	R125	1.9106597947985737	29.150516245752357
Bhathia_01	R125	2.012409682928041	28.985627933612367
Bhathia_01	R125	2.1141595710575083	28.83850023065754
Bhathia_01	R125	2.2159094591869755	28.709050591579704
Bhathia_01	R125	2.317659347316443	28.597212671067755
Bhathia_01	R125	2.4194092354459102	28.502936323807646
Bhathia_01	R125	2.5211591235753774	28.42618760448241
Bhathia_01	R125	2.6229090117048446	28.366948767772147
Bhathia_01	R125	2.7246588998343118	28.325218268354007
Bhathia_01	R125	2.8264087879637794	28.30101076090223
Bhathia_01	R125	2.9281586760932465	28.294357100088106
Bhathia_01	R125	3.0299085642227137	28.305304340580005
Bhathia_01	R125	3.131658452352181	28.333915737043355
Bhathia_01	R125	3.2334083404816485	28.380270744140653
Bhathia_01	R125	3.3351582286111157	28.44446501653147
Bhathia_01	R125	3.436908116740583	28.526610408872433
Bhathia_01	R125	3.53865800487005	28.626834975817243
Bhathia_01	R125	3.640407892999517	28.745282972016675
Bhathia_01	R125	3.742157781128985	28.88211485211856
Bhathia_01	R125	3.843907669258452	29.03750727076779
Bhathia_01	R125	3.945657557387919	29.211653082606347
Bhathia_01	R125	4.047407445517386	29.40476134227327
Bhathia_01	R125	4.149157333646854	29.617057304404653
Bhathia_01	R125	4.250907221776321	29.848782423633672
Bhathia_01	R125	4.352657109905788	30.100194354590563
Bhathia_01	R125	4.454406998035256	30.37156695190264
Bhathia_01	R125	4.556156886164723	30.663190270194267
Bhathia_01	R125	4.65790677429419	30.97537056408689
Bhathia_01	R125	4.759656662423657	31.30843028819901
Bhathia_01	R125	4.8614065505531245	31.662708097146208
Bhathia_01	R125	4.963156438682592	32.038558845541125
Bhathia_01	R125	5.064906326812059	32.436353587993466
Bhathia_01	R125	5.1666562149415265	32.856479579110015
