framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	283.0	100000.0	100.0	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	103.5079362523115	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	107.13892867212581	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	110.89729399135348	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	114.78750037010863	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	118.81417270871387	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	122.98209814604685	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	127.29623175076546	125.21454236102329
Bhathia_01	R407F	283.0	283.0	100000.0	131.76170241217702	125.18529850462538
Bhathia_01	R407F	283.0	283.0	100000.0	136.3838189377566	125.09219327227677
Bhathia_01	R407F	283.0	283.0	100000.0	141.16807636456102	124.99668789870664
Bhathia_01	R407F	283.0	283.0	100000.0	146.12016249204424	124.89858658714324
Bhathia_01	R407F	283.0	283.0	100000.0	151.24596464403913	124.79767004636805
Bhathia_01	R407F	283.0	283.0	100000.0	156.55157666794562	124.69346004449541
Bhathia_01	R407F	283.0	283.0	100000.0	162.04330617944572	124.58615256014573
Bhathia_01	R407F	283.0	283.0	100000.0	167.72768206135862	124.4752228982891
Bhathia_01	R407F	283.0	283.0	100000.0	173.6114622255508	124.3605825248353
Bhathia_01	R407F	283.0	283.0	100000.0	179.70164164712898	124.24895635255727
Bhathia_01	R407F	283.0	283.0	100000.0	186.00546068046754	124.14071348984389
Bhathia_01	R407F	283.0	283.0	100000.0	192.53041366695666	124.02885205766128
Bhathia_01	R407F	283.0	283.0	100000.0	199.28425784470534	123.91314840847333
Bhathia_01	R407F	283.0	283.0	100000.0	206.27502257078967	123.79360179327267
Bhathia_01	R407F	283.0	283.0	100000.0	213.51101886701414	123.66992497297348
Bhathia_01	R407F	283.0	283.0	100000.0	221.00084930052978	123.54209551708942
Bhathia_01	R407F	283.0	283.0	100000.0	228.7534182110594	123.40983127263293
