framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	353.0	100000.0	100.0	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	103.5079362523115	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	107.13892867212581	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	110.89729399135348	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	114.78750037010863	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	118.81417270871387	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	122.98209814604685	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	127.29623175076546	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	131.76170241217702	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	136.3838189377566	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	141.16807636456102	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	146.12016249204424	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	151.24596464403913	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	156.55157666794562	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	162.04330617944572	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	167.72768206135862	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	173.6114622255508	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	179.70164164712898	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	186.00546068046754	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	192.53041366695666	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	199.28425784470534	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	206.27502257078967	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	213.51101886701414	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	221.00084930052978	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	228.7534182110594	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	236.77794229688686	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	245.08396157219659	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	253.68135070878884	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	262.58033077565597	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	271.7914813903746	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	281.32575329676206	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	291.1944813837476	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	301.4093981609385	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	311.9826477069	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	322.92680010673166	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	334.2548663961052	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	345.9803140295299	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	358.11708289123294	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	370.67960186769494	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	383.6828060015357	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	397.1421542471496	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	411.0736478491962	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	425.49384936579753	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	440.41990235905604	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	455.86955177630426	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	471.8611650463152	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	488.41375391555476	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	505.546997050434	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	523.2812634324383	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	541.6376365739385	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	560.6379395834789	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	580.30476111034	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	600.6614821992193	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	621.7323040869574	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	643.5422769743552	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	666.1173298072896	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	689.4843011025289	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	713.670970854901	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	738.7060935637436	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	764.6194324179003	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	791.4417946799063	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	819.2050683114275	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	847.9422598834972	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	877.6875338166207	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	908.4762529973926	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	940.3450208199293	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	973.3317247020778	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1007.4755811281508	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1042.817182271731	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1079.3985442539745	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1117.2631570947824	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1156.4560364162314	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1197.023776959721	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1239.0146079804795	125.21454236102329
Bhathia_01	R407F	283.0	353.0	100000.0	1282.478450585262	125.21260745132227
Bhathia_01	R407F	283.0	353.0	100000.0	1327.4669770814253	125.2102229814098
Bhathia_01	R407F	283.0	353.0	100000.0	1374.0336724079282	125.20774192126518
Bhathia_01	R407F	283.0	353.0	100000.0	1422.2338977212928	125.20516040696994
Bhathia_01	R407F	283.0	353.0	100000.0	1472.124956212121	125.20247450738268
Bhathia_01	R407F	283.0	353.0	100000.0	1523.766161230411	125.19967893935004
Bhathia_01	R407F	283.0	353.0	100000.0	1577.2189068006678	125.19676972691389
Bhathia_01	R407F	283.0	353.0	100000.0	1632.5467406106395	125.19374323507381
Bhathia_01	R407F	283.0	353.0	100000.0	1689.81543956045	125.1905948839574
Bhathia_01	R407F	283.0	353.0	100000.0	1749.093087961948	125.18731988110753
Bhathia_01	R407F	283.0	353.0	100000.0	1810.45015848124	125.18391312980114
Bhathia_01	R407F	283.0	353.0	100000.0	1873.9595959206342	125.18036751704997
Bhathia_01	R407F	283.0	353.0	100000.0	1939.6969039396042	125.1766797987831
Bhathia_01	R407F	283.0	353.0	100000.0	2007.7402348178655	125.17284449677477
Bhathia_01	R407F	283.0	353.0	100000.0	2078.1704823672853	125.16885590724652
Bhathia_01	R407F	283.0	353.0	100000.0	2151.0713781030845	125.16470810970975
Bhathia_01	R407F	283.0	353.0	100000.0	2226.529590788659	125.16062549586566
Bhathia_01	R407F	283.0	353.0	100000.0	2304.63482947238	125.15640285146773
Bhathia_01	R407F	283.0	353.0	100000.0	2385.479950138839	125.15201229904464
Bhathia_01	R407F	283.0	353.0	100000.0	2469.161066101381	125.14744745969666
Bhathia_01	R407F	283.0	353.0	100000.0	2555.7776622671126	125.14270169671124
Bhathia_01	R407F	283.0	353.0	100000.0	2645.43271341026	125.1377679995203
Bhathia_01	R407F	283.0	353.0	100000.0	2738.2328065944866	125.13263656213304
Bhathia_01	R407F	283.0	353.0	100000.0	2834.2882678897013	125.10010541925946
Bhathia_01	R407F	283.0	353.0	100000.0	2933.7132935340187	125.05461819888994
Bhathia_01	R407F	283.0	353.0	100000.0	3036.6260856967806	125.00778673396448
Bhathia_01	R407F	283.0	353.0	100000.0	3143.1489930040857	124.95957788759304
Bhathia_01	R407F	283.0	353.0	100000.0	3253.4086559938396	124.91000795702148
Bhathia_01	R407F	283.0	353.0	100000.0	3367.536157673288	124.85899907968222
Bhathia_01	R407F	283.0	353.0	100000.0	3485.667179358007	124.806496932896
Bhathia_01	R407F	283.0	353.0	100000.0	3607.9421619776303	124.7524611135578
Bhathia_01	R407F	283.0	353.0	100000.0	3734.506473040075	124.69685051112728
Bhathia_01	R407F	283.0	353.0	100000.0	3865.5105794527676	124.63962430056823
Bhathia_01	R407F	283.0	353.0	100000.0	4001.1102264063275	124.58078034827007
Bhathia_01	R407F	283.0	353.0	100000.0	4141.466622533378	124.45663006348407
Bhathia_01	R407F	283.0	353.0	100000.0	4286.746631562607	124.30776848296915
Bhathia_01	R407F	283.0	353.0	100000.0	4437.122970695934	124.15632620602217
Bhathia_01	R407F	283.0	353.0	100000.0	4592.774415944617	124.00171625354113
Bhathia_01	R407F	283.0	353.0	100000.0	4753.8860146684265	123.84381880671725
Bhathia_01	R407F	283.0	353.0	100000.0	4920.649305570547	123.68234044346224
Bhathia_01	R407F	283.0	353.0	100000.0	5093.26254640977	123.51798299359403
Bhathia_01	R407F	283.0	353.0	100000.0	5271.9309497006825	123.34998105728853
Bhathia_01	R407F	283.0	353.0	100000.0	5456.8669266820625	123.17802690267179
Bhathia_01	R407F	283.0	353.0	100000.0	5648.290339843539	123.00188587774247
Bhathia_01	R407F	283.0	353.0	100000.0	5846.4287643107255	122.82158427662428
Bhathia_01	R407F	283.0	353.0	100000.0	6051.517758399548	122.63679417033832
Bhathia_01	R407F	283.0	353.0	100000.0	6263.801143661515	122.44731240442394
Bhathia_01	R407F	283.0	353.0	100000.0	6483.531294752719	122.25306286011845
Bhathia_01	R407F	283.0	353.0	100000.0	6710.9694394713115	122.05405975941346
